Account,On/Off,Address,Region,City,State,Name Zip,Memo,Month,Btl / Keg Qty,750 Ml Equiv,9L CS Equiv,9L CS Equiv,Purchase Price,Total Sales
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",2/14/2020,4,4,0.33,,,
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",3/6/2020,3,3,0.25,$12.00 ,$36.00 ,
All Purpose Pizzeria,on,1250 9th St. NW,DC,Washington,DC,20001,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/5/2019,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/11/2019,12,12,1,15,180,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/8/2019,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/20/2019,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",11/22/2019,3,3,0.25,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/6/2019,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/29/2020,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/7/2020,12,12,1,,,
Alley Light,on,108 2nd St. SW,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/21/2020,12,12,1,,,
Aloi,on,3103 W Leigh Street,Richmond,Richmond,VA,23230,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/4/2019,12,12,1,15,180,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,10/2/2019,12,12,1,15,180,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/2/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,10/9/2019,12,12,1,15,180,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/16/2019,12,12,1,12,144,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/16/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,10/23/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/23/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/30/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,11/6/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",11/6/2019,24,24,2,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,11/13/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,11/22/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/27/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,12/4/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/11/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,12/18/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/18/2019,18,18,1.5,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,12/27/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/27/2019,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,1/8/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/8/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,1/22/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/29/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,2/12/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2017,2/19/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/19/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,Early Mountain Vineyards Virginia Chardonnay 2018,2/26/2020,6,6,0.5,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/4/2020,12,12,1,,,
Amber Ox Kitchen & Brewery,on,521 Prince George St.,Tidewater,Williamsburg,VA,23185,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/11/2020,12,12,1,,,
And Sons NYC,on,285 West Broadway #330,NY,Brooklyn,NY,10013,Early Mountain Vineyards Virginia Petit Manseng 2018,3/5/2020,48,48,4,$15.00 ,$720.00 ,
Arrowine,off,4508 Lee Hwy,NoVA,Arlington,VA,22207,Early Mountain Vineyards Virginia Rosé 2018,10/4/2019,36,36,3,,,
Arrowine,off,4508 Lee Hwy,NoVA,Arlington,VA,22207,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/25/2019,36,36,3,,,
Arrowine,off,4508 Lee Hwy,NoVA,Arlington,VA,22207,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",11/19/2019,36,36,3,,,
Arrowine,off,4508 Lee Hwy,NoVA,Arlington,VA,22207,Early Mountain Vineyards Virginia Chardonnay 2017,12/13/2019,12,12,1,,,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,Early Mountain Vineyards Virginia Petit Manseng 2018,1/30/2020,12,12,1,,,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/31/2020,12,12,1,,,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/13/2020,24,24,2,$15.00 ,$360.00 ,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",3/13/2020,12,12,1,$12.00 ,$144.00 ,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",3/13/2020,12,12,1,$26.67 ,$320.00 ,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,Early Mountain Vineyards Virginia Rosé 2019,3/13/2020,36,36,3,,,
Arrowine,off,4508 Lee Hwy,NoVa,Arlington,VA,22207,Early Mountain Vineyards Virginia Rosé 2019,3/26/2020,36,36,3,,,
Ashby Inn,on,692 Federal St,NoVa,Paris,VA,20130,Early Mountain Vineyards Virginia Petit Manseng 2018,2/27/2020,6,6,0.5,,,
Ashby Inn,on,692 Federal St,NoVa,Paris,VA,20130,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2017",2/27/2020,6,6,0.5,,,
Astor Wines & Spirits,off,399 Lafayette St,New York,New York,NY,10003,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/28/2019,24,24,2,,,
Astor Wines & Spirits,off,399 Lafayette St,Manhattan,New York,NY,10003,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,1/10/2020,27,27,2.25,,,
Astor Wines & Spirits,off,399 Lafayette St,Manhattan,New York,NY,10003,Early Mountain Vineyards Virginia Petit Manseng 2017,2/5/2020,7,7,0.58,,,
Astor Wines & Spirits,off,399 Lafayette St,Manhattan,New York,NY,10003,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2015",2/5/2020,17,17,1.42,,,
Astor Wines & Spirits,off,399 Lafayette St,NY,Manhattan,NY,10003,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,3/25/2020,36,36,3,$19.00 ,$684.00 ,
Back Bay's Farmhouse Brewing,on,1805 Kempsville Rd,Tidewater,Virginia Beach,VA,23464,Early Mountain Vineyards Virginia Rosé 2018,10/2/2019,12,12,1,,,
Back Bay's Farmhouse Brewing,on,1805 Kempsville Rd,Tidewater,Virginia Beach,VA,23464,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/16/2019,36,36,3,,,
Back Bay's Farmhouse Brewing,on,1805 Kempsville Rd,Tidewater,Virginia Beach,VA,23464,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/30/2019,24,24,2,,,
Back Bay's Farmhouse Brewing,on,1805 Kempsville Rd,Tidewater,Virginia Beach,VA,23464,Early Mountain Vineyards Virginia Rosé 2019,3/18/2020,24,24,2,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,Early Mountain Vineyards Virginia Rosé 2018,10/4/2019,12,12,1,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/14/2019,12,12,1,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/19/2019,36,36,3,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/19/2019,12,12,1,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,Early Mountain Vineyards Virginia Chardonnay 2017,12/19/2019,12,12,1,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",12/19/2019,6,6,0.5,,,
Balducci's - Alexandria,Off,600 Franklin St,NoVA,Alexandria,VA,22314,"Early Mountain Vineyards Virginia Red ""Rise"" 2015 (3-pack)",12/19/2019,6,6,0.5,,,
Balducci's - Alexandria,off,600 Franklin St,NoVa,Alexandria,VA,22314,Early Mountain Vineyards Virginia Chardonnay 2018,3/19/2020,36,36,3,$15.00 ,$540.00 ,
Balducci's - Alexandria,off,600 Franklin St,NoVa,Alexandria,VA,22314,Early Mountain Vineyards Virginia Rosé 2019,3/19/2020,36,36,3,,,
Barrel Chest,off,4035 Electric Rd. #B,Valley / Western VA,Roanoke,VA,24018,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,10/9/2019,6,6,0.5,16.67,100,
Barrel Chest,off,4035 Electric Rd. #B,Valley / Western VA,Roanoke,VA,24018,Early Mountain Vineyards Virginia Petit Manseng 2017,10/23/2019,12,12,1,,,
Barrel Chest,off,4035 Electric Rd. #B,Valley / Western VA,Roanoke,VA,24018,Early Mountain Vineyards Virginia Chardonnay 2017,11/25/2019,6,6,0.5,,,
Barrel Chest,off,4035 Electric Rd. #B,Valley/Western,Roanoke,VA,24018,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/15/2020,12,12,1,,,
Barrel Chest,off,4035 Electric Rd. #B,Valley/Western,Roanoke,VA,24018,Early Mountain Vineyards Virginia Rosé 2019,3/11/2020,6,6,0.5,,,
Barrel Chest,off,4035 Electric Rd. #B,Valley/Western,Roanoke,VA,24018,Early Mountain Vineyards Virginia Chardonnay 2018,3/25/2020,6,6,0.5,$16.67 ,$100.00 ,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/4/2019,12,12,1,13.33,160,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/9/2019,24,24,2,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/30/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/30/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/15/2019,6,6,0.5,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/20/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/22/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/27/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/6/2019,6,6,0.5,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/11/2019,12,12,1,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,Early Mountain Vineyards Virginia Chardonnay 2017,12/27/2019,6,6,0.5,,,
Barrel Thief,On/Off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/27/2019,12,12,1,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/14/2020,12,12,1,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/28/2020,6,6,0.5,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,Early Mountain Vineyards Virginia Rosé 2019,3/13/2020,12,12,1,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,Early Mountain Vineyards Virginia Rosé 2019,3/18/2020,18,18,1.5,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/25/2020,12,12,1,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,Early Mountain Vineyards Virginia Rosé 2019,3/25/2020,18,18,1.5,,,
Barrel Thief,on/off,5805 Patterson Ave,Richmond,Richmond,VA,23226,Early Mountain Vineyards Virginia Rosé 2019,3/27/2020,36,36,3,,,
Beer Run,on/off,156 Carlton Rd Ste 203,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",12/18/2019,4,4,0.33,,,
Beer Run,on/off,156 Carlton Rd Ste 203,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/21/2020,4,4,0.33,,,
Blacksburg Wine Lab,on,400 Turner St. NW,Valley/Western,Blacksburg,VA,24060,Early Mountain Vineyards Virginia Chardonnay 2017,1/29/2020,2,2,0.17,,,
Blacksburg Wine Lab,on,400 Turner St. NW,Valley/Western,Blacksburg,VA,24060,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/29/2020,2,2,0.17,,,
Blanca,on,4117 Granby St Ste A,Tidewater,Norfolk,VA,23504-1116,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/13/2019,2,2,0.17,,,
Blanca,on,4117 Granby St Ste A,Tidewater,Norfolk,VA,23504-1116,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/11/2019,3,3,0.25,,,
Bloom,on,1109 Main St. SW,Valley/Western,Roanoke,VA,24015,Early Mountain Vineyards Virginia Petit Manseng 2018,3/11/2020,2,2,0.17,$16.67 ,$33.33 ,
BON TON,On,214 PONCE DE LEON AVE NE,ATLANTA,ATLANTA,GA,30308,EARLY MOUNTAIN VINEYARDS ROSE 2018,Feb-20,0.33,0.33,0.03,,,
BON TON,on,214 PONCE DE LEON AVE NE,,ATLANTA,GA,30212930,EARLY MOUNTAIN VINEYARDS ROSE,Mar-20,0.17,0.17,0.01,,,
BON TON ,On ,674 Myrtle Street NE ,Atlanta,Atlanta,GA,30308,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-11,4,4,0.33,,,
BON TON   ,On ,674 Myrtle Street NE ,Atlanta,Atlanta,GA,30308,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-09,4,4,0.33,,,
BON TON   ,On ,674 Myrtle Street NE ,Atlanta,Atlanta,GA,30308,EARLY MOUNTAIN VINEYARDS ROSE 2018,2019-10,3,3,0.25,,,
Bottleworks,off,3078 Stony Point Rd.,Richmond,Richmond,VA,23235,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/4/2019,2,2,0.17,13.33,26.67,
Bourbon Steak - Four Seasons Hotel,on,Bourbon Steak,DC,Washington,DC,20007,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/1/2019,12,12,1,,,
Bourbon Steak - Four Seasons Hotel,on,Bourbon Steak,DC,Washington,DC,20007,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/10/2019,24,24,2,,,
Brooklyn Wine Exchange,off,138 Court Street,Brooklyn,Brooklyn,NY,11201,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",11/19/2019,24,24,2,,,
Brooklyn Wine Exchange,off,285 West Broadway,Brooklyn,Manhattan,NY,10013,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",2/10/2020,24,24,2,,,
Brut Wine Bar (Grape + Bean),on,118 S Royal St #1,NoVA,Alexandria,VA,22314,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,10/4/2019,12,12,1,15,180,
Buckhead's Chop House,on,8510 Patterson Ave.,Richmond,Richmond,VA,23229,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",10/9/2019,12,12,1,12,144,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/4/2019,24,24,2,12,288,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/18/2019,12,12,1,12,144,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/25/2019,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/1/2019,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/8/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/15/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/15/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/22/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/6/2019,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/13/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",12/20/2019,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/10/2020,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",1/24/2020,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/7/2020,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/14/2020,12,12,1,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/21/2020,24,24,2,,,
C&O Restaurant,on,515 E Water St,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",3/6/2020,12,12,1,,,
Caboose,on/off,108 S. Railroad Ave.,Richmond,Ashland,VA,23005,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",11/1/2019,3,3,0.25,,,
Caboose,on/off,108 S. Railroad Ave.,Richmond,Ashland,VA,23005,Early Mountain Vineyards Virginia Chardonnay 2017,12/13/2019,3,3,0.25,,,
